n,p
1,1.0
2,0.5
3,0.3333333333333333
4,0.25
5,0.4
6,0.1666666666666667
7,0.4285714285714286
8,0.625
9,0.5555555555555556
10,0.5
11,0.6363636363636364
12,0.6666666666666667
13,0.4615384615384615
14,0.6428571428571429
15,0.7333333333333333
16,0.625
17,0.4117647058823529
18,0.611111111111111
19,0.6315789473684211
20,0.55
21,0.3333333333333333
22,0.5454545454545455
23,0.4782608695652174
24,0.5416666666666667
25,0.56
26,0.7307692307692308
27,0.7037037037037037
28,0.6071428571428571
29,0.4482758620689655
30,0.4
31,0.6451612903225806
32,0.625
33,0.6363636363636364
34,0.5294117647058824
35,0.4857142857142857
36,0.4166666666666667
37,0.4324324324324324
38,0.3157894736842105
39,0.5128205128205128
40,0.525
41,0.5609756097560976
42,0.5238095238095238
43,0.6744186046511628
44,0.5454545454545455
45,0.4666666666666667
46,0.717391304347826
47,0.4468085106382979
48,0.5416666666666667
49,0.4897959183673469
50,0.46
51,0.5490196078431373
52,0.5769230769230769
53,0.4716981132075472
54,0.5
55,0.5272727272727273
56,0.5178571428571429
57,0.6842105263157895
58,0.5344827586206897
59,0.5254237288135593
60,0.55
61,0.5081967213114754
62,0.5483870967741935
63,0.5079365079365079
64,0.546875
65,0.5538461538461538
66,0.5
67,0.4626865671641791
68,0.4852941176470588
69,0.5217391304347826
70,0.5285714285714286
71,0.4788732394366197
72,0.4583333333333333
73,0.410958904109589
74,0.3783783783783784
75,0.3866666666666667
76,0.5
77,0.5064935064935066
78,0.5128205128205128
79,0.4936708860759494
80,0.4625
81,0.5061728395061728
82,0.5
83,0.4457831325301205
84,0.4642857142857143
85,0.5647058823529412
86,0.4534883720930233
87,0.471264367816092
88,0.5113636363636364
89,0.5280898876404494
90,0.4666666666666667
91,0.5164835164835165
92,0.5
93,0.5806451612903226
94,0.4680851063829787
95,0.4736842105263158
96,0.4479166666666667
97,0.4639175257731959
98,0.4081632653061224
99,0.4747474747474747
100,0.41
101,0.4059405940594059
102,0.5294117647058824
103,0.5048543689320388
104,0.5288461538461539
105,0.4857142857142857
106,0.5
107,0.5420560747663551
108,0.5277777777777778
109,0.5321100917431193
110,0.4454545454545455
111,0.4684684684684685
112,0.4464285714285714
113,0.4247787610619469
114,0.5175438596491228
115,0.4956521739130435
116,0.4741379310344828
117,0.5128205128205128
118,0.4576271186440678
119,0.4285714285714286
120,0.4333333333333333
121,0.4958677685950413
122,0.4754098360655738
123,0.4390243902439024
124,0.4112903225806452
125,0.52
126,0.5
127,0.4645669291338583
128,0.6015625
129,0.5426356589147286
130,0.5153846153846154
131,0.4351145038167939
132,0.5
133,0.5789473684210527
134,0.582089552238806
135,0.4666666666666667
136,0.4044117647058824
137,0.4233576642335766
138,0.5
139,0.4892086330935252
140,0.4642857142857143
141,0.4609929078014184
142,0.4929577464788732
143,0.5104895104895105
144,0.4583333333333333
145,0.5517241379310345
146,0.5
147,0.4897959183673469
148,0.527027027027027
149,0.5570469798657718
150,0.56
151,0.576158940397351
152,0.4934210526315789
153,0.5032679738562092
154,0.5454545454545455
155,0.5225806451612903
156,0.5897435897435896
157,0.5286624203821656
158,0.5759493670886076
159,0.5911949685534591
160,0.5375
161,0.546583850931677
162,0.5185185185185185
163,0.558282208588957
164,0.5426829268292683
165,0.5151515151515152
166,0.5120481927710843
167,0.4970059880239521
168,0.5
169,0.5266272189349112
170,0.5529411764705882
171,0.5087719298245614
172,0.5232558139534884
173,0.508670520231214
174,0.5689655172413793
175,0.52
176,0.4659090909090909
177,0.4915254237288136
178,0.4887640449438202
179,0.446927374301676
180,0.5166666666666667
181,0.4585635359116022
182,0.5054945054945055
183,0.5136612021857923
184,0.5271739130434783
185,0.4378378378378378
186,0.5053763440860215
187,0.4491978609625668
188,0.4893617021276596
189,0.4973544973544974
190,0.5315789473684212
191,0.5078534031413613
192,0.5
193,0.533678756476684
194,0.5154639175257733
195,0.5179487179487179
196,0.4489795918367347
197,0.4771573604060914
198,0.4444444444444444
199,0.4673366834170854
200,0.545
201,0.5174129353233831
202,0.4603960396039604
203,0.4778325123152709
204,0.4901960784313725
205,0.4292682926829268
206,0.4757281553398058
207,0.4444444444444444
208,0.5384615384615385
209,0.5406698564593301
210,0.4333333333333333
211,0.4218009478672986
212,0.4009433962264151
213,0.4507042253521127
214,0.4252336448598131
215,0.4325581395348837
216,0.4398148148148148
217,0.4838709677419355
218,0.536697247706422
219,0.4794520547945205
220,0.5409090909090909
221,0.5339366515837104
222,0.5045045045045045
223,0.4977578475336323
224,0.5267857142857143
225,0.5466666666666667
226,0.5176991150442478
227,0.5462555066079295
228,0.5131578947368421
229,0.519650655021834
230,0.4826086956521739
231,0.5324675324675325
232,0.4655172413793103
233,0.5708154506437768
234,0.4743589743589744
235,0.5276595744680851
236,0.5254237288135593
237,0.5021097046413502
238,0.4747899159663866
239,0.5146443514644351
240,0.5333333333333333
241,0.5643153526970954
242,0.4958677685950413
243,0.5102880658436214
244,0.5286885245901639
245,0.5469387755102041
246,0.5365853658536585
247,0.48582995951417
248,0.5201612903225806
249,0.5100401606425703
250,0.472
251,0.4382470119521912
252,0.4761904761904762
253,0.4426877470355731
254,0.4330708661417323
255,0.4862745098039216
256,0.4609375
257,0.4785992217898833
258,0.4728682170542636
259,0.4980694980694981
260,0.5115384615384615
261,0.5440613026819923
262,0.5152671755725191
263,0.5133079847908745
